cpu-bind=MASK - cn-0071, task  0  0 [2884235]: mask |BBBBBBBBBBBBBBBBBBBB||||BBBBBBBBBBBBBBBBBBBB|  set
Running "module reset". Resetting modules to system default. The following $MODULEPATH directories have been removed: None
cpu-bind=MASK - cn-0071, task  0  0 [2884323]: mask |B-------------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 120  0 [53138]: mask |B-------------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 40  0 [2573801]: mask |B-------------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 80  0 [258171]: mask |B-------------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 121  1 [53139]: mask |-B------------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 122  2 [53140]: mask |--B-----------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 123  3 [53141]: mask |---B----------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 124  4 [53142]: mask |----B---------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 125  5 [53143]: mask |-----B--------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 126  6 [53144]: mask |------B-------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 127  7 [53145]: mask |-------B------------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 128  8 [53146]: mask |--------B-----------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 129  9 [53147]: mask |---------B----------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 130 10 [53148]: mask |----------B---------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 131 11 [53149]: mask |-----------B--------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 132 12 [53150]: mask |------------B-------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 133 13 [53151]: mask |-------------B------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 81  1 [258172]: mask |-B------------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 82  2 [258173]: mask |--B-----------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 41  1 [2573802]: mask |-B------------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 83  3 [258174]: mask |---B----------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 42  2 [2573803]: mask |--B-----------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 84  4 [258175]: mask |----B---------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 43  3 [2573804]: mask |---B----------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 85  5 [258176]: mask |-----B--------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 44  4 [2573805]: mask |----B---------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 86  6 [258177]: mask |------B-------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 45  5 [2573806]: mask |-----B--------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 87  7 [258178]: mask |-------B------------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 46  6 [2573807]: mask |------B-------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 88  8 [258179]: mask |--------B-----------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 47  7 [2573808]: mask |-------B------------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 89  9 [258180]: mask |---------B----------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 48  8 [2573809]: mask |--------B-----------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 90 10 [258181]: mask |----------B---------||||--------------------|  set
