size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.4915400695787854e-7,3.005672454833803e-7,2.5607660545409094e-7
4,262144,2.4168782768250595e-5,2.417767132568362e-5,2.417684537265453e-5
8,262144,2.38208060951211e-5,2.3832307582856444e-5,2.383138957715035e-5
16,262144,2.2415719425201827e-5,2.2427786346433884e-5,2.2426883015997634e-5
32,262144,2.5371007068630496e-5,2.5385347461702072e-5,2.5384240401834185e-5
64,262144,2.4805299713133777e-5,2.4834298561094846e-5,2.483323235668981e-5
128,262144,3.019075390243048e-5,3.0204551136019158e-5,3.0203536704249845e-5
256,262144,3.098375407027925e-5,3.099766047286461e-5,3.09962663415149e-5
512,262144,3.220192818069871e-5,3.2215928478235745e-5,3.221411023108631e-5
1024,262144,3.379262104416967e-5,3.3806505558000866e-5,3.380418506437575e-5
2048,262144,9.140793402100708e-5,9.142060692594883e-5,9.14188693991011e-5
4096,262144,0.0001550518540344241,0.00015506550997160652,0.00015506307643131174
8192,262144,0.00029438430866623566,0.00029439628728102085,0.00029439385929975646
16384,262144,6.776640740584867e-5,6.77806641388286e-5,6.777890671214573e-5
32768,262144,8.152404301072045e-5,8.154057343292686e-5,8.153660107852606e-5
65536,262144,9.527711669538627e-5,9.53074066505459e-5,9.529583882920624e-5
131072,262144,0.0001319189963722362,0.00013193948561859023,0.00013192813164682342
262144,262144,0.00021517080407711846,0.00021519067758943083,0.00021518081088281468
524288,262144,0.0004332605853156646,0.0004333689313125884,0.00043335031976181765
1048576,262144,0.0008921125023651031,0.0008923040457039801,0.0008922723121810295
2097152,262144,0.0031809364692724374,0.0031817010033875852,0.0031814214812685955
