size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,4.095467376705897e-8,5.321525192261383e-8,4.1244775213304225e-8
1,262144,1.826732185363757e-6,1.9193826103210204e-6,1.879035791814325e-6
2,262144,1.987546039581487e-6,2.0028506469725597e-6,1.995706030525242e-6
4,262144,1.8835192260742e-6,1.9579708786015808e-6,1.9235260964930144e-6
8,262144,1.839051414489154e-6,1.9292776298518114e-6,1.883935597844392e-6
16,262144,1.8464192924502377e-6,1.8554834594730032e-6,1.853889337174581e-6
32,262144,2.079247837066697e-6,2.099620136261466e-6,2.0922543452233284e-6
64,262144,2.080214469908574e-6,2.093989486694671e-6,2.0923555542155906e-6
128,262144,4.0712601890557515e-6,4.244662742614838e-6,4.157637628301967e-6
256,262144,4.125335643769263e-6,4.302537330628529e-6,4.213706945367125e-6
512,262144,4.2409309158330196e-6,4.270386508941536e-6,4.25573337230829e-6
1024,262144,5.564623199463608e-6,5.573312789917698e-6,5.571934046909195e-6
2048,262144,6.322532276151694e-6,6.355205429080081e-6,6.339698390379498e-6
4096,262144,7.99566910553108e-6,8.243583332063204e-6,8.120664401233207e-6
8192,262144,1.2600079231262083e-5,1.2798913089751936e-5,1.270045984829214e-5
16384,262144,8.488162065124692e-5,0.00017902683658219427,0.0001495233392837869
32768,262144,5.243391597748145e-5,5.245162083052877e-5,5.245089085875388e-5
65536,262144,9.00091385726997e-5,9.003530202484651e-5,9.003404354328619e-5
131072,262144,0.00013696538491821982,0.00013702509027483018,0.00013702012630814335
262144,262144,0.00027738402344892725,0.00027747792603301246,0.00027745523062971896
524288,262144,0.0004823672497634513,0.0004824608582839811,0.00048243718372013297
1048576,262144,0.0009326421158637728,0.000932700763595577,0.0009326774556733079
2097152,262144,0.0017065867565878817,0.0017066794251291363,0.0017066549473898796
