size (bytes),iterations,time (seconds)
0,262144,2.8971440696716306
1,262144,15.786101657867434
2,262144,15.820413646697997
4,262144,15.822756107330322
8,262144,15.823737171173104
16,262144,15.84716998672485
32,262144,15.887999908447267
64,262144,16.847360614776616
128,262144,17.01651459121704
256,262144,17.117700229644782
512,262144,17.28431388092042
1024,262144,17.628711624145488
2048,262144,18.29101964187624
4096,262144,20.911113170623782
8192,262144,30.09027739715576
16384,262144,47.30074761962892
32768,262144,81.31716688537598
65536,262144,156.88701205825808
131072,262144,309.392394153595
262144,262144,615.45444480896
524288,262144,1242.4579175376896
1048576,262144,2515.6132578353877
2097152,262144,5066.893558128357
