size (bytes),iterations,time (seconds)
0,262144,3.721623600006103
1,262144,14.084641841888427
2,262144,14.097992267608642
4,262144,14.084549587249755
8,262144,14.125933288574222
16,262144,14.133298904418952
32,262144,14.114229419708254
64,262144,14.104444892883302
128,262144,14.188197513580327
256,262144,17.272629501342784
512,262144,25.983423290252688
1024,262144,27.03196442794799
2048,262144,20.179255062103273
4096,262144,21.00882144165039
8192,262144,22.439399829864495
16384,262144,24.044874389648445
32768,262144,28.6478938522339
65536,262144,37.362464431762675
131072,262144,53.186122131347666
262144,262144,85.21282444000242
524288,262144,157.87024172592163
1048576,262144,312.4531373596191
2097152,262144,645.0040419654846

