size (bytes),iterations,time (seconds)
0,262144,2.8724769859313963
1,262144,5.880078502655029
2,262144,5.861430782318114
4,262144,5.865932922363279
8,262144,5.8671016654968255
16,262144,5.885186817169189
32,262144,5.872420642852785
64,262144,6.392751655578616
128,262144,6.468673263549809
256,262144,6.50346493530273
512,262144,6.615350471496582
1024,262144,6.755304019927979
2048,262144,7.023384075164796
4096,262144,8.354831237792961
8192,262144,9.315660221099852
16384,262144,10.483485698699942
32768,262144,12.575358512878422
65536,262144,17.615187427520755
131072,262144,29.07534307098391
262144,262144,56.399028991699204
524288,262144,105.8080445289612
1048576,262144,211.59518198013302
2097152,262144,431.96553482818604
