size (bytes),iterations,time (seconds)
0,262144,4.159243350982666
1,262144,7.339937229156495
2,262144,7.29676633453369
4,262144,7.299736797332763
8,262144,7.2948190536499
16,262144,7.309243465423584
32,262144,7.322004482269287
64,262144,7.828794578552246
128,262144,7.877361347198494
256,262144,7.932932846069329
512,262144,8.0323851852417
1024,262144,8.181341670989985
2048,262144,8.461893123626703
4096,262144,9.763137142181394
8192,262144,10.630056339263914
16384,262144,11.816843360900886
32768,262144,13.605394367218002
65536,262144,16.850385498046872
131072,262144,22.94322282028199
262144,262144,37.51454070663454
524288,262144,66.5176058998108
1048576,262144,125.33976076126098
2097152,262144,244.0871856536866
