size (bytes),iterations,bandwidth (MB/s)
0,262144,0.0
1,262144,531303.5978295731
2,262144,1.067710053984318e6
4,262144,2.143428941629456e6
8,262144,4.285955312670517e6
16,262144,8.098547004669555e6
32,262144,1.6177808484755946e7
64,262144,3.2560797190437675e7
128,262144,6.4839288993985035e7
256,262144,1.2617439298066662e8
512,262144,2.4377971703584933e8
1024,262144,4.586789679540149e8
2048,262144,7.477901221195883e8
4096,262144,1.1609030885440452e9
8192,262144,1.5595186107121964e9
16384,262144,1.3112514985713263e9
32768,262144,2.4147215482056646e9
65536,262144,2.448600410495486e9
131072,262144,2.5581221714185658e9
262144,262144,2.6491787149420624e9
524288,262144,2.6818315894854608e9
1048576,262144,2.7278505148519826e9
2097152,262144,2.7064028055955853e9
