size (bytes),iterations,latency (seconds)
0,262144,1.6737195568084264e-6
1,262144,1.6741229858399044e-6
2,262144,1.6771307392120702e-6
4,262144,1.68447346115097e-6
8,262144,1.6834174308776877e-6
16,262144,1.6907600154878091e-6
32,262144,1.7933767280574965e-6
64,262144,1.9312247772222926e-6
128,262144,1.967825166702376e-6
256,262144,2.0618070487989812e-6
512,262144,2.193129487991846e-6
1024,262144,2.2985546283717438e-6
2048,262144,2.7852033081050733e-6
4096,262144,3.5573449020380448e-6
8192,262144,4.2937801361104305e-6
16384,262144,5.5409354515051685e-6
32768,262144,7.3975037059803315e-6
65536,262144,1.0197259922028939e-5
131072,262144,1.561406928443917e-5
262144,262144,2.7709066892624932e-5
524288,262144,4.939739133644055e-5
1048576,262144,9.188347480202285e-5
2097152,262144,0.00017680372452163407
